"","ZIPCODE","POPULATION","AREA","COUNTY","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","density"
"14","10011",50594,18118416.8463268,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.92
"18","10016",54606,15042403.0377915,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3
"161","11104",27127,12084432.1160844,"Queens",NA,NA,NA,NA,NA,NA,NA,303.5,326.5,284.333333333333,357.833333333333,359.166666666667,364.583333333333,414,440.416666666667,398.75,380.384615384615,406.5,441.25,485.833333333333,544.25,634.4,22.45
"164","11109",2752,581237.15059292,"Queens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.35
"13","10010",29881,9768395.56994528,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.59
"218","11367",41773,72810151.5885401,"Queens",NA,NA,NA,NA,NA,NA,NA,252.5,291.5,301.333333333333,358,344.166666666667,340.083333333333,332.5,345.083333333333,332.583333333333,338.153846153846,351.166666666667,375.5,406.083333333333,435,484.6,5.74
"17","10014",31328,14151052.0304172,"New York",NA,NA,NA,NA,NA,NA,NA,NA,1048.5,1127.41666666667,1290.16666666667,1300.66666666667,1426.83333333333,1272.33333333333,1112.75,1172.25,1243.53846153846,1460.25,1660.58333333333,1735.16666666667,1852.83333333333,1880.4,22.14
"4","10003",55878,15538376.2696663,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.96
"185","11222",36315,42825293.236702,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567.285714285714,561.083333333333,596.307692307692,715.333333333333,849.166666666667,960.75,1065.41666666667,1085.4,8.48
"3","10002",81305,26280128.5438885,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,749.1,879.25,962.75,1016,941.166666666667,928.583333333333,936.5,983.692307692308,1041.16666666667,1126.58333333333,1221.33333333333,1346.58333333333,1384.4,30.94
"229","11378",35473,66260538.7433529,"Queens",NA,NA,NA,NA,NA,NA,NA,232,277.25,322.083333333333,381.25,384.666666666667,390.5,356.583333333333,340.166666666667,329.666666666667,324.692307692308,332.5,363.25,389.333333333333,439.416666666667,472.8,5.35
"12","10009",61455,15903519.3012284,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,831.1,948.416666666667,1047.16666666667,1116.16666666667,1012.83333333333,921.916666666667,946.833333333333,983.615384615385,1048.25,1118.25,1232.33333333333,1384.25,1432,38.64
"15","10012",24276,9193738.99955164,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4
"16","10013",27985,15580578.8335804,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.96
"11","10007",7323,5327870.97676123,"New York",NA,NA,NA,NA,NA,NA,NA,NA,885.75,900.833333333333,1044.66666666667,1151.08333333333,1230.16666666667,1138.08333333333,1127.66666666667,1204.58333333333,1282,1432.83333333333,1619.58333333333,1700.83333333333,1842.5,1833.2,13.74
"200","11237",49335,27425868.1713133,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.285714285714,353.083333333333,395.923076923077,458.416666666667,549.583333333333,678.333333333333,779.833333333333,828.2,17.99
"231","11385",98436,124786310.907857,"Queens",NA,NA,NA,NA,NA,NA,NA,223.5,258.583333333333,297.083333333333,355.25,355.916666666667,347.666666666667,322.666666666667,320.583333333333,304.75,302.615384615385,309.583333333333,334.75,354.75,405.5,447.2,7.89
"41","10038",19127,7022760.64302604,"New York",NA,NA,NA,NA,NA,NA,NA,NA,720.2,815.083333333333,937.916666666667,948.25,998,926.083333333333,910.5,916.833333333333,941.769230769231,1021.91666666667,1135.25,1227.25,1316.33333333333,1320.2,27.24
